SPTq,Tq,Tt,SPTs,Ts,Sr,Sa
70.0,72.8448879471139,40.01936288252603,40.0,38.1385968515743,0.0,0.0
70.0,72.37030183994504,40.01981397248292,40.0,38.135590030433725,0.0,0.0
70.0,71.90573724843885,40.02005379534545,40.0,38.132583987550724,0.0,0.0
70.0,71.44886752286743,40.02012148243794,40.0,38.12957872623157,0.0,0.0
70.0,70.9978482727988,40.02004837426624,40.0,38.126574249738674,0.0,0.0
70.0,70.55121105662718,40.01985976144191,40.0,38.12357056117893,0.0,0.0
70.0,70.10778381825097,40.019576172992984,40.0,38.12056766339808,0.0,0.0
70.0,69.6666303524354,40.01921434670152,40.0,38.117565558883214,0.0,0.0
70.0,69.22700356466862,40.0187879717662,40.0,38.11456424967562,0.0,0.0
70.0,68.78830890907302,40.018308265481274,40.0,38.11156373729577,0.0,1.0
70.0,70.83754448774059,40.01809720062633,40.0,38.10856402268226,0.0,1.0
70.0,72.86479643555448,40.01842457188395,40.0,38.10556510614608,0.0,0.0
70.0,72.388329840054,40.01887633691932,40.0,38.1025669873414,0.0,0.0
70.0,71.92190004884134,40.01911650574945,40.0,38.099569665253895,0.0,0.0
70.0,71.46317372170854,40.01918438224007,40.0,38.09657313820728,0.0,0.0
70.0,71.0103024511267,40.01911142493124,40.0,38.0935774038886,0.0,0.0
70.0,70.56181565269162,40.01892300314394,40.0,38.09058245939256,0.0,0.0
70.0,70.11654043728873,40.01863969607627,40.0,38.087588301285116,0.0,0.0
70.0,69.67354067160478,40.018278270942226,40.0,38.084594925686574,0.0,0.0
70.0,69.23206994445758,40.01785243135774,40.0,38.081602328374146,0.0,0.0
70.0,68.79153479050545,40.017373398262215,40.0,38.07861050490435,0.0,1.0
70.0,70.83888298126618,40.0171644924428,40.0,38.075619450755596,0.0,1.0
70.0,72.86416723001871,40.017496547951744,40.0,38.072629161491705,0.0,0.0
70.0,72.38573893282853,40.017953530800106,40.0,38.0696396329473,0.0,0.0
70.0,71.91741171696536,40.0181979772467,40.0,38.06665086143678,0.0,0.0
70.0,71.45683840835883,40.01826944828305,40.0,38.06366284398886,0.0,0.0
70.0,71.00216065405588,40.01819958882489,40.0,38.06067557860964,0.0,0.0
70.0,70.55190072795011,40.01801390339874,40.0,38.05768906457772,0.0,0.0
70.0,70.10488063725862,40.01773306900908,40.0,38.05470330277583,0.0,0.0
70.0,69.66016063381888,40.01737392313293,40.0,38.05171829606436,0.0,0.0
70.0,69.21699178125209,40.016950219263585,40.0,38.048734049703114,0.0,0.0
70.0,68.77477888553817,40.01647321309267,40.0,38.04575057182851,0.0,1.0
70.0,70.82041622535647,40.016267608932225,40.0,38.04276787399445,0.0,1.0
70.0,72.84392005960217,40.01660532077828,40.0,38.039785971785825,0.0,0.0
70.0,72.36372520281316,40.017068385436694,40.0,38.036804885514606,0.0,0.0
70.0,71.89370198947863,40.017317895747496,40.0,38.03382464100878,0.0,0.0
70.0,71.43148923931005,40.01739365636572,40.0,38.030845270505,0.0,0.0
70.0,70.97521823461375,40.017327492018055,40.0,38.027866813656026,0.0,0.0
70.0,70.52340353725621,40.01714504068332,40.0,38.02488931866381,0.0,0.0
70.0,70.07486139553932,40.01686707874831,40.0,38.02191284354875,0.0,0.0
70.0,69.62864775229214,40.0165105177859,40.0,38.01893745756485,0.0,0.0
70.0,69.18401044499326,40.01608916647149,40.0,38.01596324276943,0.0,0.0
70.0,68.74035186549068,40.01561432144703,40.0,38.012990295754285,0.0,1.0
70.0,70.78451367350667,40.01541203102984,40.0,38.01001872954346,0.0,1.0
70.0,72.80647496551317,40.01575528876063,40.0,38.0070486756602,0.0,0.0
70.0,72.32474896752622,40.01622432735488,40.0,38.004080286362864,0.0,0.0
70.0,71.85326071598823,40.01647885372616,40.0,38.00111373704641,0.0,0.0
